catalog_watch_id,brand,reference,msrp_usd,source_url,note
lorier-neptune-iv,Lorier,Neptune-IV,499,https://lorierwatches.com/products/neptune,Neptune Series IV diver
lorier-falcon-iii,Lorier,Falcon-III,549,https://lorierwatches.com/products/falcon,Falcon Series III chronograph (mecaquartz)
lorier-zephyr-iii,Lorier,Zephyr-III,399,https://lorierwatches.com/products/zephyr,Zephyr Series III pilot
traska-freediver-gen-3,Traska,Freediver-Gen-3,625,https://traskawatches.com/products/freediver,Freediver Gen 3
traska-summiteer-v1,Traska,Summiteer-V1,625,https://traskawatches.com/products/summiteer,Summiteer field watch
traska-commuter-v2,Traska,Commuter-V2,575,https://traskawatches.com/products/commuter,Commuter sport
traska-venturer-gmt,Traska,Venturer-GMT,725,https://traskawatches.com/products/venturer,Venturer GMT
farer-bernina-iii,Farer,Bernina-III,1200,https://www.farer.com/collections/3-hand-watches/products/bernina-iii,Bernina III. £950 base ≈ $1200 USD
farer-carnegie-iii-gmt,Farer,Carnegie-III-GMT,1500,https://www.farer.com/collections/gmt-watches/products/carnegie-iii,Carnegie III GMT
farer-endurance,Farer,Endurance,1625,https://www.farer.com/collections/automatic-dive-watches,Aqua Compressor Endurance
farer-markham-iii,Farer,Markham-III,1200,https://www.farer.com/collections/3-hand-watches,Markham III
monta-oceanking-iii,Monta,Oceanking-III,2295,https://montawatch.com/collections/oceanking,Oceanking III diver
monta-atlas-gmt,Monta,Atlas-GMT,1950,https://montawatch.com/collections/atlas,Atlas GMT
monta-triumph-v1,Monta,Triumph-V1,2295,https://montawatch.com/collections/triumph,Triumph sport
monta-noble-v1,Monta,Noble-V1,1950,https://montawatch.com/collections/noble,Noble dress
nodus-sector-sport-v2,Nodus,Sector-Sport-V2,625,https://nodushq.com/collections/sector-sport,Sector Sport v2
nodus-avalon-v2,Nodus,Avalon-V2,695,https://nodushq.com/collections/avalon,Avalon II diver
nodus-retrospect-v3,Nodus,Retrospect-V3,475,https://nodushq.com/collections/retrospect,Retrospect III
brew-retromatic-v2,Brew,Retromatic-V2,399,https://brew-watches.com/collections/retromatic,Retromatic II
brew-metric-c,Brew,Metric-C,389,https://brew-watches.com/collections/metric,Metric C chronograph
vaer-c5-field-usa,Vaer,C5-Field-USA,499,https://vaerwatches.com/collections/field-watches,C5 Field Standard USA assembly
vaer-d5-meridian-gmt,Vaer,D5-Meridian-GMT,749,https://vaerwatches.com/collections/gmt-watches,D5 Meridian GMT
vaer-a5-uss-cody,Vaer,A5-USS-Cody,349,https://vaerwatches.com/collections/field-watches,A5 USS Cody Atomic Field
zelos-mako-v3,Zelos,Mako-V3,440,https://www.zeloswatches.com/collections/mako,Mako V3 diver
zelos-swordfish-bronze,Zelos,Swordfish-Bronze,830,https://www.zeloswatches.com/collections/swordfish,Swordfish Bronze
zelos-helmsman-iii,Zelos,Helmsman-III,590,https://www.zeloswatches.com/collections/helmsman,Helmsman III pilot
citizen-bn0150-28e,Citizen,BN0150-28E,475,https://www.citizenwatch.com/us/en/collection/promaster/,Promaster Diver Eco-Drive (Ecozilla 200m)
citizen-at8020-54l,Citizen,AT8020-54L,695,https://www.citizenwatch.com/us/en/collection/blue-angels/,Skyhawk A-T Blue Angels
citizen-bm8180-03e,Citizen,BM8180-03E,195,https://www.citizenwatch.com/us/en/collection/all-mens-watches/,Eco-Drive Field
citizen-nb6021-17e,Citizen,NB6021-17E,2895,https://www.citizenwatch.com/us/en/collection/series-8/,Series 8 880 mechanical
orient-ra-ac0m02s10b,Orient,RA-AC0M02S10B,375,https://www.orient-watch.com/,Bambino Open Heart
orient-ra-aa0001l19b,Orient,RA-AA0001L19B,325,https://www.orient-watch.com/,Kamasu (Mako USA III) diver
orient-faa02001b9,Orient,FAA02001B9,295,https://www.orient-watch.com/,Mako II
orient-ra-ar0007s10b,Orient,RA-AR0007S10B,225,https://www.orient-watch.com/,Bambino 38
orient-star-ra-ar0001s,Orient Star,RA-AR0001S,1650,https://www.orient-watch.com/orient-star/,Orient Star Modern Classic Skeleton
rolex-116610lv,Rolex,116610LV,9050,https://www.rolex.com/watches/submariner,Hulk - MSRP at discontinuation 2020. Current market ~$14-18k secondary
rolex-116619lb,Rolex,116619LB,36400,https://www.rolex.com/watches/submariner,Smurf white gold - MSRP at discontinuation. Current market ~$30k secondary
rolex-126619lb,Rolex,126619LB,41800,https://www.rolex.com/watches/submariner,Cookie Monster - Current Rolex retail (white gold)
rolex-1675,Rolex,1675,14000,https://www.rolex.com/watches/gmt-master-ii,Vintage GMT-Master Pepsi - representative market value mid-condition
rolex-16710,Rolex,16710,14000,https://www.rolex.com/watches/gmt-master-ii,Pepsi/Coke GMT-Master II 1989-2007. Market median
rolex-16750,Rolex,16750,12000,https://www.rolex.com/watches/gmt-master-ii,Pepsi GMT-Master quickset 1981-88
rolex-116719blro,Rolex,116719BLRO,38500,https://www.rolex.com/watches/gmt-master-ii,Pepsi GMT-Master II white gold 2014-21
rolex-126719blro,Rolex,126719BLRO,44150,https://www.rolex.com/watches/gmt-master-ii,Current white gold Pepsi retail
rolex-126720vtnr,Rolex,126720VTNR,11150,https://www.rolex.com/watches/gmt-master-ii,Sprite/Destro current retail (lefty)
rolex-126711chnr,Rolex,126711CHNR,15800,https://www.rolex.com/watches/gmt-master-ii,Root Beer everose/steel current retail
rolex-126715chnr,Rolex,126715CHNR,40000,https://www.rolex.com/watches/gmt-master-ii,Root Beer everose gold current retail
rolex-16570,Rolex,16570,8000,https://www.rolex.com/watches/explorer,Explorer II Polar discontinued. Market median
rolex-216570,Rolex,216570,9000,https://www.rolex.com/watches/explorer,Explorer II 2011-21 retail
rolex-1655,Rolex,1655,22000,https://www.rolex.com/watches/explorer,Freccione Steve McQueen 1971-84. Market median
rolex-116508,Rolex,116508,40000,https://www.rolex.com/watches/cosmograph-daytona,John Mayer green-dial Daytona. Market median post-discontinuation
rolex-126506,Rolex,126506,95000,https://www.rolex.com/watches/cosmograph-daytona,Le Mans platinum 100th anniversary Daytona retail
rolex-6239,Rolex,6239,200000,https://www.rolex.com/watches/cosmograph-daytona,Vintage Daytona Paul Newman 1963-69. Representative market median
rolex-6263,Rolex,6263,250000,https://www.rolex.com/watches/cosmograph-daytona,Vintage Daytona Paul Newman black bezel
rolex-1665,Rolex,1665,80000,https://www.rolex.com/watches/sea-dweller,Double Red Sea-Dweller (DRSD) 1967-77. Market median
rolex-5513,Rolex,5513,20000,https://www.rolex.com/watches/submariner,Vintage Submariner 1962-89. Market median
omega-311-30-42-30-01-005,Omega,311.30.42.30.01.005,6400,https://www.omegawatches.com/watches/speedmaster/moonwatch,Speedmaster Moonwatch Hesalite (pre-2021 movement)
omega-310-32-42-50-02-001,Omega,310.32.42.50.02.001,9800,https://www.omegawatches.com/watches/speedmaster/moonwatch,Silver Snoopy 50th Anniversary LE retail
omega-311-92-44-51-01-007,Omega,311.92.44.51.01.007,12000,https://www.omegawatches.com/watches/speedmaster/dark-side-of-the-moon,Dark Side of the Moon ceramic
omega-210-22-42-20-01-004,Omega,210.22.42.20.01.004,9200,https://www.omegawatches.com/watches/seamaster,Seamaster Diver 300M 007 No Time To Die Edition
audemars-piguet-15202st-oo-1240st-01,Audemars Piguet,15202ST.OO.1240ST.01,34200,https://www.audemarspiguet.com/com/en/collection/royal-oak.html,Royal Oak Jumbo Extra-Thin steel retail (discontinued)
audemars-piguet-15400st-oo-1220st-01,Audemars Piguet,15400ST.OO.1220ST.01,24600,https://www.audemarspiguet.com/com/en/collection/royal-oak.html,Royal Oak Selfwinding 41 steel 2012-19
patek-philippe-5740-1g-001,Patek Philippe,5740/1G-001,130000,https://www.patek.com/en/collection/nautilus,Nautilus Perpetual Calendar white gold retail
patek-philippe-5168g-010,Patek Philippe,5168G-010,40100,https://www.patek.com/en/collection/aquanaut,Aquanaut Jumbo 42mm white gold retail
cartier-w2020018,Cartier,W2020018,75000,https://www.cartier.com/en-us/watches.html,Crash modern reissue. Market representative
seiko-sbdx017,Seiko,SBDX017,3200,https://www.seikowatches.com/global-en/products/prospex,Marinemaster 300 8L35 movement. MSRP at discontinuation 2020
seiko-sla037,Seiko,SLA037,6200,https://www.seikowatches.com/global-en/products/prospex,Prospex 62MAS modern re-interpretation LE
grand-seiko-sbgh271,Grand Seiko,SBGH271,5800,https://www.grand-seiko.com/us-en/collections/heritage,Heritage Mt. Iwate Hi-Beat retail
